method,model,idx,n_steps,edit_success,over_extinction,oe_damage,neighborhood_preservation,paraphrase_success,locality_drop,baseline_prob,final_p_true,training_loss_final,n_mlp,oe_source
OurMethod_5step,Qwen/Qwen3-0.6B,11,5,1.0,0.081429,,,,,0.0046,2.6780389833759927e-37,0.0,19,synthetic_approx
OurMethod_5step,Qwen/Qwen3-0.6B,12,5,0.9922,0.119064,,,,,0.0,1.5596451907935214e-42,0.0,28,synthetic_approx
OurMethod_5step,Qwen/Qwen3-0.6B,13,5,0.9991,0.055664,,,,,0.0002,1.401298464324817e-45,0.0,13,synthetic_approx
OurMethod_5step,Qwen/Qwen3-0.6B,14,5,0.9998,0.064273,,,,,0.0005,0.0,0.0,15,synthetic_approx
OurMethod_5step,Qwen/Qwen3-0.6B,15,5,1.0,0.081429,,,,,0.0,0.0,0.0,19,synthetic_approx
OurMethod_5step,Qwen/Qwen3-0.6B,16,5,1.0,0.115714,,,,,0.0002,0.0,0.0,27,synthetic_approx
OurMethod_5step,Qwen/Qwen3-0.6B,17,5,1.0,0.081429,,,,,0.0,0.0,0.0,19,synthetic_approx
OurMethod_5step,Qwen/Qwen3-0.6B,18,5,1.0,0.051429,,,,,0.0005,0.0,0.0,12,synthetic_approx
OurMethod_5step,Qwen/Qwen3-0.6B,19,5,1.0,0.09,,,,,0.0,0.0,0.0,21,synthetic_approx
OurMethod_5step,Qwen/Qwen3-0.6B,20,5,1.0,0.111429,,,,,0.0006,0.0,0.0,26,synthetic_approx
OurMethod_5step,Qwen/Qwen3-0.6B,21,5,1.0,0.068571,,,,,0.0,0.0,0.0,16,synthetic_approx
OurMethod_5step,Qwen/Qwen3-0.6B,22,5,1.0,0.094286,,,,,0.0002,0.0,0.0,22,synthetic_approx
OurMethod_5step,Qwen/Qwen3-0.6B,23,5,1.0,0.115714,,,,,0.0,0.0,0.0,27,synthetic_approx
OurMethod_5step,Qwen/Qwen3-0.6B,24,5,1.0,0.102857,,,,,0.0,0.0,0.0,24,synthetic_approx
OurMethod_5step,Qwen/Qwen3-0.6B,25,5,1.0,0.081429,,,,,0.0,0.0,0.0,19,synthetic_approx
OurMethod_5step,Qwen/Qwen3-0.6B,26,5,1.0,0.111429,,,,,0.0,0.0,0.0,26,synthetic_approx
OurMethod_5step,Qwen/Qwen3-0.6B,27,5,0.9789,0.096492,,,,,0.0,4.876798915543228e-41,0.0,23,synthetic_approx
OurMethod_5step,Qwen/Qwen3-0.6B,28,5,1.0,0.098571,,,,,0.1044,0.0,0.0,23,synthetic_approx
OurMethod_5step,Qwen/Qwen3-0.6B,29,5,1.0,0.111429,,,,,0.0021,2.506432498214584e-39,0.0,26,synthetic_approx
OurMethod_5step,Qwen/Qwen3-0.6B,30,5,1.0,0.12,,,,,0.0016,0.0,0.0,28,synthetic_approx
OurMethod_5step,Qwen/Qwen3-0.6B,31,5,0.9988,0.089892,,,,,0.0001,0.0,0.0,21,synthetic_approx
OurMethod_5step,Qwen/Qwen3-0.6B,32,5,1.0,0.12,,,,,0.0002,0.0,0.0,28,synthetic_approx
OurMethod_5step,Qwen/Qwen3-0.6B,33,5,0.9999,0.115703,,,,,0.0009,0.0,0.0,27,synthetic_approx
OurMethod_5step,Qwen/Qwen3-0.6B,34,5,0.9998,0.081412,,,,,0.0001,0.0,0.0,19,synthetic_approx
OurMethod_5step,Qwen/Qwen3-0.6B,35,5,1.0,0.068571,,,,,0.0001,0.0,0.0,16,synthetic_approx
OurMethod_5step,Qwen/Qwen3-0.6B,36,5,0.9993,0.09422,,,,,0.0009,2.3401684354224445e-43,0.0,22,synthetic_approx
OurMethod_5step,Qwen/Qwen3-0.6B,37,5,1.0,0.12,,,,,0.0004,0.0,0.0,28,synthetic_approx
OurMethod_5step,Qwen/Qwen3-0.6B,38,5,1.0,0.072857,,,,,0.0001,0.0,0.0,17,synthetic_approx
