beta_kl,pair_i,A_idx,B_idx,p_new_A_postA,p_new_A_postAB,p_new_B_postAB,retention_A,retention_A_abs,success_B,status
0.1,4,8,9,1.0,5.737956498967799e-23,0.9120486974716187,5.737956498967799e-23,5.737956498967799e-23,0.9120486974716187,ok
0.1,5,10,11,1.0,2.2808549493547048e-10,0.9707155227661133,2.2808549493547048e-10,2.2808549493547048e-10,0.9707155227661133,ok
0.1,6,12,13,0.9662758708000183,3.97157610618204e-12,0.9768043160438538,4.1101886388757834e-12,3.97157610618204e-12,0.9768043160438538,ok
0.1,7,14,15,0.49624571204185486,3.3394092042726697e-06,1.0,6.729346215471206e-06,3.3394092042726697e-06,1.0,ok
0.3,0,0,1,0.988521933555603,3.668261441130971e-12,0.9999086856842041,3.710854880009232e-12,3.668261441130971e-12,0.9999086856842041,ok
0.3,1,2,3,0.9997801184654236,5.538026471185731e-06,0.9304947853088379,5.539244448755517e-06,5.538026471185731e-06,0.9304947853088379,ok
0.3,2,4,5,1.0,0.08705698698759079,0.9970515966415405,0.08705698698759079,0.08705698698759079,0.9970515966415405,ok
0.3,3,6,7,0.9999716281890869,0.9748803973197937,0.32405415177345276,0.974908057226851,0.9748803973197937,0.32405415177345276,ok
0.3,4,8,9,1.0,7.802506497468024e-20,0.9991325736045837,7.802506497468024e-20,7.802506497468024e-20,0.9991325736045837,ok
0.3,5,10,11,1.0,1.0,0.9999338388442993,1.0,1.0,0.9999338388442993,ok
0.3,6,12,13,0.8363850116729736,1.514787406620144e-08,0.6673234701156616,1.8111125683495935e-08,1.514787406620144e-08,0.6673234701156616,ok
0.3,7,14,15,0.0005922100390307605,0.002437964314594865,1.0,4.116722368612587,0.002437964314594865,1.0,ok
1.0,0,0,1,0.9979507327079773,0.00010614599159453064,0.9918223023414612,0.00010636395977835445,0.00010614599159453064,0.9918223023414612,ok
1.0,1,2,3,0.9998409748077393,0.5959423184394836,0.005427561234682798,0.5960371033544392,0.5959423184394836,0.005427561234682798,ok
1.0,2,4,5,0.000534757215064019,1.0623682380854482e-13,0.9991549253463745,1.986636567321987e-10,1.0623682380854482e-13,0.9991549253463745,ok
1.0,3,6,7,0.9999667406082153,0.9822781085968018,0.137615367770195,0.9823107796558767,0.9822781085968018,0.137615367770195,ok
1.0,4,8,9,1.0,0.0018663490191102028,2.83298367403928e-11,0.0018663490191102028,0.0018663490191102028,2.83298367403928e-11,ok
1.0,5,10,11,1.0,1.046847341885232e-13,0.9960442781448364,1.046847341885232e-13,1.046847341885232e-13,0.9960442781448364,ok
1.0,6,12,13,0.9239876866340637,5.1042641803940746e-21,0.9919671416282654,5.524169049252242e-21,5.1042641803940746e-21,0.9919671416282654,ok
1.0,7,14,15,0.023186206817626953,1.2037462226999196e-07,0.9999793767929077,5.191647914504024e-06,1.2037462226999196e-07,0.9999793767929077,ok
