pair_idx,condition,method,A_idx,B_idx,A_subject,B_subject,A_relation,B_relation,n_mlp_A,n_mlp_B,n_attn_A,n_attn_B,p_new_A_solo,p_new_B_solo,p_new_A_postA,p_new_A_postAB,p_new_B_postAB,p_true_A_postAB,p_true_B_postAB,kl_A_solo,kl_B_solo,kl_postA,kl_postAB,retention_A,retention_A_abs,success_B,kl_super_additivity,status,A_displaced,B_installed,n_mlp_total,n_attn_total,kl_A_quartile
3,shared,Random,410,1895,Manuel Roxas,Manuel Roxas,P39,P20,3,8,0,0,1.0,0.8064630627632141,1.0,0.9999998807907104,0.9996455907821655,1.2007419009088194e-26,0.0,11.672268867492676,14.042574882507324,11.672268867492676,10.493419647216797,0.9999998807907104,0.9999998807907104,0.9996455907821655,-15.221424102783203,ok,1.1920928955078125e-07,0.9996455907821655,11,0,"Q1
(low)"
4,shared,ROMEtrace,431,1516,Orphan Black,Orphan Black,P136,P495,5,5,0,0,1.0,0.7740929126739502,1.0,1.640337515193561e-18,1.0,8.403789149357882e-27,3.5032461608120427e-44,10.09939193725586,13.447904586791992,10.09939193725586,49.9912109375,1.640337515193561e-18,1.640337515193561e-18,1.0,26.44391441345215,ok,1.0,1.0,10,0,"Q1
(low)"
4,shared,Random,431,1516,Orphan Black,Orphan Black,P136,P495,19,9,0,0,1.0,0.9999998807907104,1.0,2.0411195371454536e-20,1.0,3.538747419890271e-19,1.6863225719684849e-41,28.865150451660156,35.186031341552734,28.865150451660156,37.53711700439453,2.0411195371454536e-20,2.0411195371454536e-20,1.0,-26.51406478881836,ok,1.0,1.0,28,0,Q3
5,shared,ACDC,461,1933,New Nintendo 3DS,New Nintendo 3DS,P178,P176,2,1,0,0,0.9952477216720581,0.9999821186065674,0.9952477216720581,8.05799166340546e-26,1.0,0.0,0.0,10.781635284423828,13.161674499511719,10.781635284423828,14.36954402923584,8.096468334403915e-26,8.05799166340546e-26,1.0,-9.573765754699707,ok,0.9952477216720581,1.0,3,0,"Q1
(low)"
5,shared,ROMEtrace,461,1933,New Nintendo 3DS,New Nintendo 3DS,P178,P176,5,5,0,0,0.9992371797561646,0.8321315050125122,0.9992371797561646,6.213861136958255e-22,1.0,4.677254014223374e-41,1.6364643726078079e-40,20.267738342285156,14.668089866638184,20.267738342285156,34.66783142089844,6.218604814599244e-22,6.213861136958255e-22,1.0,-0.26799678802490234,ok,0.9992371797561646,1.0,10,0,Q2
5,shared,Random,461,1933,New Nintendo 3DS,New Nintendo 3DS,P178,P176,2,1,0,0,0.998206615447998,1.0,0.998206615447998,2.3208121431254972e-26,1.0,0.0,0.0,12.023375511169434,12.343737602233887,12.023375511169434,35.38903045654297,2.3249817294427666e-26,2.3208121431254972e-26,1.0,11.021917343139648,ok,0.998206615447998,1.0,3,0,"Q1
(low)"
6,shared,ACDC,547,3075,Nina van Pallandt,Nina van Pallandt,P27,P19,6,14,5,21,0.9999459385871887,1.0,0.9999459385871887,6.922080096616323e-13,1.0,0.0,0.0,46.36003112792969,27.56881332397461,46.36003112792969,27.509632110595703,6.922454334277756e-13,6.922080096616323e-13,1.0,-46.419212341308594,ok,0.9999459385864965,1.0,20,26,"Q4
(high)"
6,shared,ROMEtrace,547,3075,Nina van Pallandt,Nina van Pallandt,P27,P19,5,5,0,0,0.9997144937515259,0.008422241546213627,0.9997144937515259,2.3445206279865127e-12,3.1268255042959936e-06,3.428754515808581e-22,1.9895432507553168e-21,12.046272277832031,8.546175003051758,12.046272277832031,9.692352294921875,2.345190194440886e-12,2.3445206279865127e-12,3.1268255042959936e-06,-10.900094985961914,ok,0.9997144937491813,3.1268255042959936e-06,10,0,"Q1
(low)"
6,shared,Random,547,3075,Nina van Pallandt,Nina van Pallandt,P27,P19,6,14,0,0,0.9998646974563599,1.0,0.9998646974563599,4.484204463735175e-22,1.0,0.0,0.0,34.0168342590332,48.35399627685547,34.0168342590332,29.811017990112305,4.484811270107766e-22,4.484204463735175e-22,1.0,-52.55981254577637,ok,0.9998646974563599,1.0,20,0,Q3
7,shared,ACDC,584,4162,Jean Marot,Jean Marot,P103,P1412,20,20,59,73,0.9999996423721313,0.6141830086708069,0.9999996423721313,4.221253490662271e-15,0.9997304677963257,3.5067494069728547e-41,2.947070800321523e-41,43.00188446044922,16.484127044677734,43.00188446044922,39.12775421142578,4.221255000300699e-15,4.221253490662271e-15,0.9997304677963257,-20.358257293701172,ok,0.9999996423721271,0.9997304677963257,40,132,"Q4
(high)"
7,shared,ROMEtrace,584,4162,Jean Marot,Jean Marot,P103,P1412,5,5,0,0,0.9999998807907104,0.9993218183517456,0.9999998807907104,2.424291212221874e-09,0.9994666576385498,3.057382975905776e-34,5.262238950101641e-38,17.841459274291992,27.71955108642578,17.841459274291992,32.343353271484375,2.4242915012199414e-09,2.424291212221874e-09,0.9994666576385498,-13.217657089233398,ok,0.9999998783664192,0.9994666576385498,10,0,Q2
7,shared,Random,584,4162,Jean Marot,Jean Marot,P103,P1412,20,20,0,0,0.9999984502792358,0.9997598528862,0.9999984502792358,8.241111514994265e-14,0.4282955229282379,3.2321237160321104e-19,7.978885960988764e-20,20.744850158691406,29.70445442199707,20.744850158691406,15.19057559967041,8.241124286435692e-14,8.241111514994265e-14,0.4282955229282379,-35.258728981018066,ok,0.9999984502791535,0.4282955229282379,40,0,Q2
8,shared,ACDC,750,1676,Afghanistan,Afghanistan,P30,P140,14,10,8,4,0.9999988079071045,0.9999997615814209,0.9999988079071045,1.0,2.6378049277915976e-24,1.4187896883227843e-22,0.9999992847442627,47.85273742675781,37.844329833984375,47.85273742675781,39.32891845703125,1.0000011920943166,1.0,2.6378049277915976e-24,-46.36814880371094,ok,0.0,2.6378049277915976e-24,24,12,"Q4
(high)"
8,shared,ROMEtrace,750,1676,Afghanistan,Afghanistan,P30,P140,5,5,0,0,0.9999977350234985,0.5468999743461609,0.9999977350234985,0.9853222370147705,0.4558666944503784,1.4626888763087963e-21,6.779187790746748e-21,19.561004638671875,11.73538589477539,19.561004638671875,12.880495071411133,0.9853244687515386,0.9853222370147705,0.4558666944503784,-18.415895462036133,ok,0.014675498008728027,0.4558666944503784,10,0,Q2
8,shared,Random,750,1676,Afghanistan,Afghanistan,P30,P140,14,10,0,0,0.9999998807907104,0.9999750256538391,0.9999998807907104,3.79777043146845e-10,0.9999974966049194,1.5643829172194308e-21,3.758828987720246e-40,55.29475784301758,29.909557342529297,55.29475784301758,35.162845611572266,3.797770884198019e-10,3.79777043146845e-10,0.9999974966049194,-50.04146957397461,ok,0.9999998804109334,0.9999974966049194,24,0,"Q4
(high)"
9,shared,ACDC,753,3134,George Dance the Younger,George Dance the Younger,P20,P1412,11,8,14,4,1.0,1.0,1.0,0.00010123733954969794,0.9775212407112122,7.533979547978697e-17,1.2498200122688482e-30,24.023513793945312,51.78729248046875,24.023513793945312,24.147796630859375,0.00010123733954969794,0.00010123733954969794,0.9775212407112122,-51.66300964355469,ok,0.9998987626604503,0.9775212407112122,19,18,Q3
9,shared,ROMEtrace,753,3134,George Dance the Younger,George Dance the Younger,P20,P1412,5,5,0,0,0.9999982118606567,1.0,0.9999982118606567,0.10889776796102524,0.9999737739562988,1.7832672423087292e-19,4.146900705636212e-34,25.5102596282959,41.99823760986328,25.5102596282959,29.65614891052246,0.10889796268575672,0.10889776796102524,0.9999737739562988,-37.85234832763672,ok,0.8911004438996315,0.9999737739562988,10,0,Q3
9,shared,Random,753,3134,George Dance the Younger,George Dance the Younger,P20,P1412,11,8,0,0,1.0,1.0,1.0,1.5362387536664752e-14,1.0,1.6496847846671603e-29,2.802596928649634e-45,45.9247932434082,49.170753479003906,45.9247932434082,48.495216369628906,1.5362387536664752e-14,1.5362387536664752e-14,1.0,-46.6003303527832,ok,0.9999999999999847,1.0,19,0,"Q4
(high)"
10,shared,ACDC,781,2037,European Union,European Union,P37,P30,9,16,5,33,0.9977294206619263,0.9976394772529602,0.9977294206619263,3.80379105990869e-08,0.01553112268447876,9.996376852843057e-16,1.401298464324817e-45,36.033409118652344,38.617340087890625,36.033409118652344,26.881332397460938,3.812447524485277e-08,3.80379105990869e-08,0.01553112268447876,-47.76941680908203,ok,0.9977293826240157,0.01553112268447876,25,38,"Q4
(high)"
10,shared,ROMEtrace,781,2037,European Union,European Union,P37,P30,5,5,0,0,0.9987744688987732,0.988068699836731,0.9987744688987732,0.026097046211361885,0.18187369406223297,1.508534065250873e-19,9.198254053308698e-29,11.233205795288086,15.966512680053711,11.233205795288086,17.07724380493164,0.026129068197083487,0.026097046211361885,0.18187369406223297,-10.122474670410156,ok,0.9726774226874113,0.18187369406223297,10,0,"Q1
(low)"
10,shared,Random,781,2037,European Union,European Union,P37,P30,9,16,0,0,0.9914520978927612,0.9842817187309265,0.9914520978927612,0.9764793515205383,0.0009538849117234349,1.0568461958640246e-32,4.048827763009727e-20,13.853506088256836,15.427497863769531,13.853506088256836,27.82425308227539,0.9848981646172861,0.9764793515205383,0.0009538849117234349,-1.4567508697509766,ok,0.0149727463722229,0.0009538849117234349,25,0,"Q1
(low)"
11,shared,ACDC,799,3046,John Paul II,John Paul II,P39,P103,23,11,183,6,0.8072109818458557,1.0,0.8072109818458557,1.4614776352143847e-15,1.0,3.5655020391157055e-23,5.465064010866787e-44,17.064071655273438,39.132476806640625,17.064071655273438,34.62138366699219,1.810527443361105e-15,1.4614776352143847e-15,1.0,-21.575164794921875,ok,0.8072109818458543,1.0,34,189,Q2
11,shared,ROMEtrace,799,3046,John Paul II,John Paul II,P39,P103,5,5,0,0,0.9999993443489075,0.7460231781005859,0.9999993443489075,0.999896764755249,0.9999825954437256,3.4257481895053496e-29,1.3641695695265143e-32,15.977437973022461,14.932558059692383,15.977437973022461,20.70369529724121,0.9998974203390851,0.999896764755249,0.9999825954437256,-10.206300735473633,ok,0.00010257959365844727,0.9999825954437256,10,0,Q2
11,shared,Random,799,3046,John Paul II,John Paul II,P39,P103,23,11,0,0,0.9999917149543762,0.9999996423721313,0.9999917149543762,0.9996812343597412,1.0,2.7613427018599115e-40,0.0,31.95932388305664,12.668516159057617,31.95932388305664,23.225784301757812,0.9996895168329978,0.9996812343597412,1.0,-21.402055740356445,ok,0.00031048059463500977,1.0,34,0,Q3
12,shared,ROMEtrace,861,4621,The Decameron,The Decameron,P364,P495,5,5,0,0,0.999994158744812,0.017419371753931046,0.999994158744812,0.02368636429309845,2.1816678952291113e-07,3.651765830766427e-17,1.6876016778683348e-14,26.459888458251953,9.280611038208008,26.459888458251953,15.203012466430664,0.02368650265200495,0.02368636429309845,2.1816678952291113e-07,-20.537487030029297,ok,0.9763077944517136,2.1816678952291113e-07,10,0,Q3
13,shared,ROMEtrace,877,2998,Christoph Willibald von Gluck,Christoph Willibald von Gluck,P937,P1412,5,5,0,0,0.9999969005584717,0.046530645340681076,0.9999969005584717,7.603983631990219e-13,0.9761096239089966,5.112363280254992e-20,2.0279575734975813e-34,15.56004810333252,11.190839767456055,15.56004810333252,13.533535957336426,7.604007200165916e-13,7.603983631990219e-13,0.9761096239089966,-13.217351913452148,ok,0.9999969005577113,0.9761096239089966,10,0,Q2
13,shared,Random,877,2998,Christoph Willibald von Gluck,Christoph Willibald von Gluck,P937,P1412,7,5,0,0,1.0,0.9979894757270813,1.0,4.613613297280682e-14,0.6561241149902344,4.65695293556217e-21,1.571854705607691e-28,60.363014221191406,35.530757904052734,60.363014221191406,20.540685653686523,4.613613297280682e-14,4.613613297280682e-14,0.6561241149902344,-75.35308647155762,ok,0.9999999999999538,0.6561241149902344,12,0,"Q4
(high)"
14,shared,ACDC,956,1905,Largo Winch II,Largo Winch II,P364,P495,15,3,18,4,0.9998210072517395,7.669554179301485e-05,0.9998210072517395,0.9516891241073608,0.0007305940962396562,1.0050494050731473e-20,2.362287371162426e-38,35.875091552734375,13.430334091186523,35.875091552734375,19.609561920166016,0.9518595000552336,0.9516891241073608,0.0007305940962396562,-29.695863723754883,ok,0.04813188314437866,0.0007305940962396562,18,22,Q3
14,shared,ROMEtrace,956,1905,Largo Winch II,Largo Winch II,P364,P495,5,5,0,0,0.9815141558647156,0.8404529094696045,0.9815141558647156,0.006476243492215872,9.197493454848882e-06,0.0016829516971483827,8.941097174536405e-23,20.356258392333984,10.810505867004395,20.356258392333984,16.030057907104492,0.006598217105193241,0.006476243492215872,9.197493454848882e-06,-15.136706352233887,ok,0.9750379123724997,9.197493454848882e-06,10,0,Q2
15,disjoint,ACDC,8,2626,Wellington,"Inami, Toyama",P190,P17,7,6,2,5,1.0,1.0,1.0,4.166371425640136e-08,0.9999699592590332,1.5491706311616416e-18,1.961817850054744e-43,22.51604461669922,47.10518264770508,22.51604461669922,32.32771301269531,4.166371425640136e-08,4.166371425640136e-08,0.9999699592590332,-37.293514251708984,ok,0.9999999583362857,0.9999699592590332,13,7,Q3
15,disjoint,ROMEtrace,8,2626,Wellington,"Inami, Toyama",P190,P17,5,5,0,0,1.0,0.97999507188797,1.0,1.0,0.9942655563354492,1.1868851114869463e-32,1.8831124157217402e-32,15.65900993347168,20.9735107421875,15.65900993347168,24.61768913269043,1.0,1.0,0.9942655563354492,-12.01483154296875,ok,0.0,0.9942655563354492,10,0,Q2
15,disjoint,Random,8,2626,Wellington,"Inami, Toyama",P190,P17,7,6,0,0,1.0,0.9999998807907104,1.0,5.393340413623092e-16,1.0,3.683509300363456e-18,4.1646296087056055e-39,36.23787307739258,45.81370162963867,36.23787307739258,32.27822494506836,5.393340413623092e-16,5.393340413623092e-16,1.0,-49.77334976196289,ok,0.9999999999999994,1.0,13,0,"Q4
(high)"
16,disjoint,ACDC,4720,1274,Don Carlos,Tim K,P495,P19,12,22,27,98,0.9999995231628418,1.0,0.9999995231628418,1.2268988993160979e-13,1.0,1.400298536268914e-22,1.3887470258186974e-33,31.550357818603516,60.892093658447266,31.550357818603516,44.168922424316406,1.2268994843473614e-13,1.2268988993160979e-13,1.0,-48.273529052734375,ok,0.9999995231627191,1.0,34,125,Q3
16,disjoint,ROMEtrace,4720,1274,Don Carlos,Tim K,P495,P19,5,5,0,0,0.9999911785125732,0.9943662285804749,0.9999911785125732,0.022200027480721474,0.0018130899406969547,4.7300878491807197e-11,2.0818172489708853e-13,31.77214813232422,13.074703216552734,31.77214813232422,17.54970932006836,0.02220022331971236,0.022200027480721474,0.0018130899406969547,-27.297142028808594,ok,0.9777911510318518,0.0018130899406969547,10,0,Q3
16,disjoint,Random,4720,1274,Don Carlos,Tim K,P495,P19,12,22,0,0,0.9999997615814209,1.0,0.9999997615814209,5.954932247214579e-26,1.0,6.837422727587159e-19,1.157447308159941e-39,35.8253059387207,24.678817749023438,35.8253059387207,47.58464813232422,5.954933666981403e-26,5.954932247214579e-26,1.0,-12.919475555419922,ok,0.9999997615814209,1.0,34,0,Q3
17,disjoint,ACDC,1160,331,Vijayawada Junction railway station,Antonio Valencia,P17,P413,9,23,13,89,1.0,0.999756395816803,1.0,5.237142642298964e-13,3.012191435501651e-17,1.6035128086455686e-11,2.0850939206151287e-22,40.93927001953125,29.477134704589844,40.93927001953125,32.390411376953125,5.237142642298964e-13,5.237142642298964e-13,3.012191435501651e-17,-38.02599334716797,ok,0.9999999999994763,3.012191435501651e-17,32,102,"Q4
(high)"
17,disjoint,ROMEtrace,1160,331,Vijayawada Junction railway station,Antonio Valencia,P17,P413,5,5,0,0,0.9978099465370178,0.6155482530593872,0.9978099465370178,0.24574066698551178,0.9999954700469971,1.6261964648142668e-12,1.849111414569099e-40,16.86876678466797,14.27258014678955,16.86876678466797,14.455187797546387,0.24628003342557883,0.24574066698551178,0.9999954700469971,-16.686159133911133,ok,0.752069279551506,0.9999954700469971,10,0,Q2
18,disjoint,ACDC,2622,2717,Trevor Sargent,Karachi,P106,P190,21,11,122,11,0.999998927116394,0.9999988079071045,0.999998927116394,3.8932173457295605e-11,0.0006319841486401856,8.172960974661692e-07,8.32518698889919e-15,67.26961517333984,24.356704711914062,67.26961517333984,18.16938591003418,3.893221522703107e-11,3.8932173457295605e-11,0.0006319841486401856,-73.45693397521973,ok,0.9999989270774619,0.0006319841486401856,32,133,"Q4
(high)"
18,disjoint,ROMEtrace,2622,2717,Trevor Sargent,Karachi,P106,P190,5,5,0,0,0.9999588131904602,0.9907534718513489,0.9999588131904602,0.0001360163150820881,0.9999603033065796,1.3467968121642205e-16,9.657967618687074e-39,33.283939361572266,12.05518913269043,33.283939361572266,19.583011627197266,0.00013602191739089294,0.0001360163150820881,0.9999603033065796,-25.75611686706543,ok,0.9998227968753781,0.9999603033065796,10,0,Q3
18,disjoint,Random,2622,2717,Trevor Sargent,Karachi,P106,P190,21,11,0,0,0.9999938607215881,1.0,0.9999938607215881,1.9919864369111195e-12,0.999997615814209,2.0875098033760793e-18,1.233195842021101e-32,58.8575325012207,29.408966064453125,58.8575325012207,26.57513427734375,1.9919986663455284e-12,1.9919864369111195e-12,0.999997615814209,-61.69136428833008,ok,0.9999938607195962,0.999997615814209,32,0,"Q4
(high)"
19,disjoint,ACDC,1500,4024,Chris Daughtry,Julian Lennon,P1303,P1303,23,23,94,65,0.9999960064888,0.9999996423721313,0.9999960064888,0.9999998807907104,0.9999998807907104,2.0108632963061125e-42,2.013665893234762e-42,44.00959014892578,45.651145935058594,44.00959014892578,17.66846466064453,1.0000038743173825,0.9999998807907104,0.9999998807907104,-71.99227142333984,ok,0.0,0.9999998807907104,46,159,"Q4
(high)"
19,disjoint,ROMEtrace,1500,4024,Chris Daughtry,Julian Lennon,P1303,P1303,5,5,0,0,1.0,0.9930340051651001,1.0,0.9999993443489075,0.9999993443489075,1.3214244518583025e-42,3.200565692517882e-42,7.131744384765625,16.095848083496094,7.131744384765625,40.22511672973633,0.9999993443489075,0.9999993443489075,0.9999993443489075,16.99752426147461,ok,6.556510925292969e-07,0.9999993443489075,10,0,"Q1
(low)"
19,disjoint,Random,1500,4024,Chris Daughtry,Julian Lennon,P1303,P1303,23,23,0,0,0.9999998807907104,1.0,0.9999998807907104,1.0,1.0,1.401298464324817e-45,2.802596928649634e-45,10.145437240600586,44.543701171875,10.145437240600586,45.88020324707031,1.0000001192093038,1.0,1.0,-8.808935165405273,ok,0.0,1.0,46,0,"Q1
(low)"
20,disjoint,ACDC,3705,3080,Vlada Roslyakova,Ek Hi Bhool,P103,P364,2,15,3,24,0.9979169368743896,0.9990372657775879,0.9979169368743896,2.1541879959841026e-06,0.9999728202819824,1.692854769742925e-16,0.0,20.128673553466797,22.86846923828125,20.128673553466797,33.11968994140625,2.1586846724250514e-06,2.1541879959841026e-06,0.9999728202819824,-9.877452850341797,ok,0.9979147826863937,0.9999728202819824,17,27,Q2
20,disjoint,ROMEtrace,3705,3080,Vlada Roslyakova,Ek Hi Bhool,P103,P364,5,5,0,0,0.998940646648407,0.9426174759864807,0.998940646648407,1.4038679552186295e-08,0.9998643398284912,7.288106000423271e-16,4.6074693506999985e-42,41.67639923095703,14.539101600646973,41.67639923095703,33.32432556152344,1.4053567245749918e-08,1.4038679552186295e-08,0.9998643398284912,-22.891175270080566,ok,0.9989406326097274,0.9998643398284912,10,0,"Q4
(high)"
20,disjoint,Random,3705,3080,Vlada Roslyakova,Ek Hi Bhool,P103,P364,2,15,0,0,0.9984548091888428,0.999860405921936,0.9984548091888428,0.055831581354141235,0.9633188247680664,6.804486877888131e-25,5.605193857299268e-45,14.174982070922852,10.783700942993164,14.174982070922852,30.682113647460938,0.05591798531122256,0.055831581354141235,0.9633188247680664,5.723430633544922,ok,0.9426232278347015,0.9633188247680664,17,0,"Q1
(low)"
21,disjoint,ACDC,3208,4355,Mercury Comet,SAM Colombia,P176,P17,1,2,1,2,1.0,3.737994802577305e-09,1.0,1.0,1.4623382412537467e-05,1.5950250872861277e-28,9.572593683003229e-21,8.175332069396973,12.583305358886719,8.175332069396973,15.03035831451416,1.0,1.0,1.4623382412537467e-05,-5.728279113769531,ok,0.0,1.4623382412537467e-05,3,3,"Q1
(low)"
21,disjoint,ROMEtrace,3208,4355,Mercury Comet,SAM Colombia,P176,P17,5,5,0,0,1.0,0.6626691818237305,1.0,0.00014018506044521928,0.9991523027420044,2.8847554609361396e-16,1.4857266968003873e-39,19.35902976989746,27.22429656982422,19.35902976989746,22.926132202148438,0.00014018506044521928,0.00014018506044521928,0.9991523027420044,-23.657194137573242,ok,0.9998598149395548,0.9991523027420044,10,0,Q2
21,disjoint,Random,3208,4355,Mercury Comet,SAM Colombia,P176,P17,1,2,0,0,1.0,0.9999979734420776,1.0,3.073424625910093e-09,0.9997889399528503,4.618727972722034e-18,3.215360462695416e-35,5.241931438446045,19.218570709228516,5.241931438446045,24.135595321655273,3.073424625910093e-09,3.073424625910093e-09,0.9997889399528503,-0.3249068260192871,ok,0.9999999969265754,0.9997889399528503,3,0,"Q1
(low)"
22,disjoint,ACDC,737,1066,Montrealer,Pare Glacier,P138,P30,9,3,11,1,0.9947071075439453,0.999990701675415,0.9947071075439453,4.0446400817018e-05,0.9999958276748657,1.4056135667639203e-36,0.0,39.13231658935547,37.960899353027344,39.13231658935547,41.18455123901367,4.066161839024671e-05,4.0446400817018e-05,0.9999958276748657,-35.90866470336914,ok,0.9946666611431283,0.9999958276748657,12,12,"Q4
(high)"
22,disjoint,ROMEtrace,737,1066,Montrealer,Pare Glacier,P138,P30,5,5,0,0,0.9558345675468445,0.9829064011573792,0.9558345675468445,8.558181347552055e-17,0.9998970031738281,1.4141812765104535e-21,7.339958344117808e-35,22.757823944091797,18.35833740234375,22.757823944091797,22.191261291503906,8.953621932210176e-17,8.558181347552055e-17,0.9998970031738281,-18.92490005493164,ok,0.9558345675468444,0.9998970031738281,10,0,Q3
22,disjoint,Random,737,1066,Montrealer,Pare Glacier,P138,P30,9,3,0,0,0.9886898994445801,0.9215880036354065,0.9886898994445801,1.003695737633592e-11,0.9998933672904968,1.1882846008425338e-25,9.48502904799509e-36,14.14035701751709,12.254348754882812,14.14035701751709,28.643054962158203,1.015177497208621e-11,1.003695737633592e-11,0.9998933672904968,2.248349189758301,ok,0.9886898994345431,0.9998933672904968,12,0,"Q1
(low)"
23,disjoint,ACDC,4951,124,Propellerhead Software,Houston,P159,P190,12,11,7,19,0.9998159408569336,1.0,0.9998159408569336,0.053006526082754135,0.9997300505638123,2.267590296160842e-23,0.0,40.09541320800781,47.57112121582031,40.09541320800781,29.974687576293945,0.05301628421459524,0.053006526082754135,0.9997300505638123,-57.69184684753418,ok,0.9468094147741795,0.9997300505638123,23,26,"Q4
(high)"
23,disjoint,ROMEtrace,4951,124,Propellerhead Software,Houston,P159,P190,5,5,0,0,0.9963592886924744,0.9260786175727844,0.9963592886924744,0.12255533039569855,0.012619676999747753,8.812292562332402e-11,3.555123548388346e-24,12.273271560668945,17.932573318481445,12.273271560668945,19.8388671875,0.12300314935240712,0.12255533039569855,0.012619676999747753,-10.36697769165039,ok,0.8738039582967758,0.012619676999747753,10,0,"Q1
(low)"
