dataset,method,condition,beta_kl,p_new_A_postA,p_new_A_postAB,p_new_B_postAB,B_installed,A_displaced,A_displaced_frac
v3,Random,disjoint,0.1,0.9984548091888428,0.055831581354141235,0.9633188247680664,0.9633188247680664,0.9426232278347015,0.9440820146887774
v3,ACDC,disjoint,0.1,1.0,1.0,1.4623382412537467e-05,1.4623382412537467e-05,0.0,0.0
v3,ROMEtrace,disjoint,0.1,1.0,0.00014018506044521928,0.9991523027420044,0.9991523027420044,0.9998598149395548,0.9998598149395548
v3,Random,disjoint,0.1,1.0,3.073424625910093e-09,0.9997889399528503,0.9997889399528503,0.9999999969265754,0.9999999969265754
v3,ACDC,disjoint,0.1,0.9947071075439453,4.0446400817018e-05,0.9999958276748657,0.9999958276748657,0.9946666611431283,0.9999593383816098
v3,ROMEtrace,disjoint,0.1,0.9558345675468445,8.558181347552055e-17,0.9998970031738281,0.9998970031738281,0.9558345675468444,0.9999999999999999
v3,Random,disjoint,0.1,0.9886898994445801,1.003695737633592e-11,0.9998933672904968,0.9998933672904968,0.9886898994345431,0.9999999999898482
v3,ACDC,disjoint,0.1,0.9998159408569336,0.053006526082754135,0.9997300505638123,0.9997300505638123,0.9468094147741795,0.9469837157854047
v3,ROMEtrace,disjoint,0.1,0.9963592886924744,0.12255533039569855,0.012619676999747753,0.012619676999747753,0.8738039582967758,0.8769968506475929
v3,Random,disjoint,0.1,0.998548150062561,3.9313083424051705e-16,0.9979598522186279,0.9979598522186279,0.9985481500625606,0.9999999999999996
v3,ACDC,disjoint,0.1,0.9827826023101807,0.9999768733978271,4.224652633879602e-15,4.224652633879602e-15,0.0,0.0
v3,ROMEtrace,disjoint,0.1,0.999116063117981,0.11832743883132935,0.9999988079071045,0.9999988079071045,0.8807886242866516,0.8815678746450535
v3,Random,disjoint,0.1,0.9999995231628418,0.9915711283683777,0.9999736547470093,0.9999736547470093,0.008428394794464111,0.00842839881343785
v3,ACDC,disjoint,0.1,0.6322307586669922,8.394453047470656e-30,1.0,1.0,0.6322307586669922,1.0
v3,ROMEtrace,disjoint,0.1,0.999847948551178,2.693806811933353e-15,1.0,1.0,0.9998479485511753,0.9999999999999973
v3,Random,disjoint,0.1,0.9999784827232361,0.9999838471412659,2.984791525051378e-09,2.984791525051378e-09,0.0,0.0
v3,ACDC,disjoint,0.1,1.5476125554414466e-05,0.9677028656005859,0.02847837656736374,0.02847837656736374,0.0,0.0
v3,ROMEtrace,disjoint,0.1,0.9035624861717224,1.1557835932762828e-07,0.9998568296432495,0.9998568296432495,0.9035623705933631,0.9999998720859253
v3,Random,disjoint,0.1,0.9548559784889221,1.7709052540365589e-12,0.9999923706054688,0.9999923706054688,0.9548559784871512,0.9999999999981454
v3,ACDC,disjoint,0.1,1.0,1.4643664059121875e-10,0.9988895058631897,0.9988895058631897,0.9999999998535634,0.9999999998535634
v3,ROMEtrace,disjoint,0.1,1.0,0.10902997851371765,0.8293201327323914,0.8293201327323914,0.8909700214862823,0.8909700214862823
v3,Random,disjoint,0.1,0.9999998807907104,0.00016879706527106464,0.9999740123748779,0.9999740123748779,0.9998310837254394,0.9998312029146068
v3,ACDC,disjoint,0.1,0.9996187686920166,0.9997751712799072,0.9990891218185425,0.9990891218185425,0.0,0.0
v3,ROMEtrace,disjoint,0.1,3.6901942621625494e-06,5.47829248631615e-09,0.9982833862304688,0.9982833862304688,3.6847159696762333e-06,0.9985154460450801
v3,Random,disjoint,0.1,0.9997660517692566,0.9987170696258545,3.4675263123062905e-06,3.4675263123062905e-06,0.0010489821434020996,0.001049227608344719
nb8,ROMEtrace,unknown,0.0,0.9843087792396545,1.2512367675299174e-07,0.9998782873153687,0.9998782873153687,0.9843086541159778,0.9999998728816817
nb8,ROMEtrace,unknown,0.0,0.9999946355819702,6.4036767071229406e-06,9.595604524292867e-07,9.595604524292867e-07,0.9999882319052631,0.9999935962889407
nb8,ROMEtrace,unknown,0.0,1.0,5.596772502912406e-13,0.992161214351654,0.992161214351654,0.9999999999994403,0.9999999999994403
nb8,ROMEtrace,unknown,0.0,0.9999784231185913,0.2773175835609436,0.9159790873527527,0.9159790873527527,0.7226608395576477,0.7226764326613321
nb8,ROMEtrace,unknown,0.0,1.0,0.3222416937351227,0.9106724262237549,0.9106724262237549,0.6777583062648773,0.6777583062648773
nb8,ROMEtrace,unknown,0.0,1.0,1.0,1.4494698064027034e-07,1.4494698064027034e-07,0.0,0.0
nb8,ROMEtrace,unknown,0.0,0.9630483984947205,1.8010042176897624e-18,0.999806821346283,0.999806821346283,0.9630483984947205,1.0
nb8,ROMEtrace,unknown,0.0,0.9818875193595886,0.23149342834949493,1.0,1.0,0.7503940910100937,0.7642363063128853
nb8,ROMEtrace,unknown,0.05,0.9821974039077759,2.9492009616660653e-06,0.999841570854187,0.999841570854187,0.9821944547068142,0.9999969973439657
nb8,ROMEtrace,unknown,0.05,0.9999822378158569,0.01650972105562687,5.290906202048973e-08,5.290906202048973e-08,0.9834725167602301,0.9834899856904588
nb8,ROMEtrace,unknown,0.05,1.0,1.086811153072631e-06,0.9989470839500427,0.9989470839500427,0.9999989131888469,0.9999989131888469
nb8,ROMEtrace,unknown,0.05,0.999977707862854,0.9644985795021057,0.9281980991363525,0.9281980991363525,0.03547912836074829,0.0354799192839749
nb8,ROMEtrace,unknown,0.05,1.0,3.636077272606286e-10,0.9993252754211426,0.9993252754211426,0.9999999996363923,0.9999999996363923
nb8,ROMEtrace,unknown,0.05,1.0,2.639678475802043e-09,0.9996788501739502,0.9996788501739502,0.9999999973603215,0.9999999973603215
nb8,ROMEtrace,unknown,0.05,0.966416597366333,8.893314557001375e-11,0.9997696280479431,0.9997696280479431,0.9664165972773998,0.9999999999079764
nb8,ROMEtrace,unknown,0.05,0.9462770819664001,0.9980134963989258,0.9999998807907104,0.9999998807907104,0.0,0.0
nb8,ROMEtrace,unknown,0.1,0.9816874861717224,0.0032545472495257854,0.9997290968894958,0.9997290968894958,0.9784329389221966,0.9966847420432978
nb8,ROMEtrace,unknown,0.1,0.9999001026153564,5.729911656260356e-09,0.9866511821746826,0.9866511821746826,0.9999000968854448,0.9999999942695159
nb8,ROMEtrace,unknown,0.1,6.316508205372884e-08,4.328493870424635e-18,0.9649919271469116,0.9649919271469116,6.316508204940034e-08,0.06316508204940034
nb8,ROMEtrace,unknown,0.1,0.9999767541885376,0.3240351974964142,0.7757915258407593,0.7757915258407593,0.6759415566921234,0.6759572698673754
nb8,ROMEtrace,unknown,0.1,1.0,5.737956498967799e-23,0.9120486974716187,0.9120486974716187,1.0,1.0
nb8,ROMEtrace,unknown,0.1,1.0,2.2808549493547048e-10,0.9707155227661133,0.9707155227661133,0.9999999997719144,0.9999999997719144
nb8,ROMEtrace,unknown,0.1,0.9662758708000183,3.97157610618204e-12,0.9768043160438538,0.9768043160438538,0.9662758707960467,0.9999999999958897
nb8,ROMEtrace,unknown,0.1,0.49624571204185486,3.3394092042726697e-06,1.0,1.0,0.4962423726326506,0.9999932706537845
nb8,ROMEtrace,unknown,0.3,0.988521933555603,3.668261441130971e-12,0.9999086856842041,0.9999086856842041,0.9885219335519347,0.9999999999962891
nb8,ROMEtrace,unknown,0.3,0.9997801184654236,5.538026471185731e-06,0.9304947853088379,0.9304947853088379,0.9997745804389524,0.9999944607555512
nb8,ROMEtrace,unknown,0.3,1.0,0.08705698698759079,0.9970515966415405,0.9970515966415405,0.9129430130124092,0.9129430130124092
nb8,ROMEtrace,unknown,0.3,0.9999716281890869,0.9748803973197937,0.32405415177345276,0.32405415177345276,0.025091230869293213,0.025091942773149016
nb8,ROMEtrace,unknown,0.3,1.0,7.802506497468024e-20,0.9991325736045837,0.9991325736045837,1.0,1.0
nb8,ROMEtrace,unknown,0.3,1.0,1.0,0.9999338388442993,0.9999338388442993,0.0,0.0
nb8,ROMEtrace,unknown,0.3,0.8363850116729736,1.514787406620144e-08,0.6673234701156616,0.6673234701156616,0.8363849965250996,0.9999999818888743
nb8,ROMEtrace,unknown,0.3,0.0005922100390307605,0.002437964314594865,1.0,1.0,0.0,0.0
nb8,ROMEtrace,unknown,1.0,0.9979507327079773,0.00010614599159453064,0.9918223023414612,0.9918223023414612,0.9978445867163828,0.9998936360402216
nb8,ROMEtrace,unknown,1.0,0.9998409748077393,0.5959423184394836,0.005427561234682798,0.005427561234682798,0.4038986563682556,0.4039628966455609
