step,p_new_A,p_new_B,kl_neutral,loss,pair_idx,A_idx,B_idx,p_A_postA
13,1.813399103411939e-05,1.0,26.574369430541992,-120.7548828125,2,257,4161,0.9999809265136719
14,0.0022750322241336107,1.0,26.109195709228516,-121.0379638671875,2,257,4161,0.9999809265136719
15,6.171429589585387e-08,1.0,30.55666160583496,-121.06993103027344,2,257,4161,0.9999809265136719
0,1.0,1.218096799640212e-20,34.85566329956055,,3,410,1895,1.0
1,3.762769379390095e-15,0.9909031987190247,16.70440101623535,6.266240119934082,3,410,1895,1.0
2,0.9999974966049194,5.644130995907659e-13,36.04648971557617,-83.45405578613281,3,410,1895,1.0
3,3.113274922608374e-19,0.9992185831069946,33.53107452392578,-48.50566482543945,3,410,1895,1.0
4,1.6089414357670945e-29,0.9949294328689575,19.506729125976562,-121.62152099609375,3,410,1895,1.0
5,1.111548637769646e-27,0.999894380569458,15.102437973022461,-105.74691772460938,3,410,1895,1.0
6,6.4765159821765245e-15,0.9995154142379761,12.303272247314453,-132.99371337890625,3,410,1895,1.0
7,7.993871656100264e-30,0.999954104423523,7.31492280960083,-137.74041748046875,3,410,1895,1.0
8,2.4692189830548e-29,0.9999505281448364,5.825869560241699,-144.47621154785156,3,410,1895,1.0
9,5.059378963823895e-28,0.9999575614929199,4.3471174240112305,-146.7261199951172,3,410,1895,1.0
10,1.7347231681186404e-29,0.9999732971191406,3.787203788757324,-147.18011474609375,3,410,1895,1.0
11,1.72025322762612e-30,0.9999847412109375,3.05789852142334,-147.72634887695312,3,410,1895,1.0
12,9.092852421350692e-30,0.9999873638153076,2.511610984802246,-148.13665771484375,3,410,1895,1.0
13,2.377496569453358e-29,0.9999897480010986,1.903325080871582,-148.389404296875,3,410,1895,1.0
